date_key,full_date,year,quarter,month,day,day_of_week,is_weekend
1,2016-09-04,2016,3,9,4,Sunday   ,t
2,2016-09-05,2016,3,9,5,Monday   ,f
3,2016-09-13,2016,3,9,13,Tuesday  ,f
4,2016-09-15,2016,3,9,15,Thursday ,f
5,2016-10-02,2016,4,10,2,Sunday   ,t
6,2016-10-03,2016,4,10,3,Monday   ,f
7,2016-10-04,2016,4,10,4,Tuesday  ,f
8,2016-10-05,2016,4,10,5,Wednesday,f
9,2016-10-06,2016,4,10,6,Thursday ,f
10,2016-10-07,2016,4,10,7,Friday   ,f
11,2016-10-08,2016,4,10,8,Saturday ,t
12,2016-10-09,2016,4,10,9,Sunday   ,t
13,2016-10-10,2016,4,10,10,Monday   ,f
14,2016-10-22,2016,4,10,22,Saturday ,t
15,2016-12-23,2016,4,12,23,Friday   ,f
16,2017-01-05,2017,1,1,5,Thursday ,f
17,2017-01-06,2017,1,1,6,Friday   ,f
18,2017-01-07,2017,1,1,7,Saturday ,t
19,2017-01-08,2017,1,1,8,Sunday   ,t
20,2017-01-09,2017,1,1,9,Monday   ,f
21,2017-01-10,2017,1,1,10,Tuesday  ,f
22,2017-01-11,2017,1,1,11,Wednesday,f
23,2017-01-12,2017,1,1,12,Thursday ,f
24,2017-01-13,2017,1,1,13,Friday   ,f
25,2017-01-14,2017,1,1,14,Saturday ,t
26,2017-01-15,2017,1,1,15,Sunday   ,t
27,2017-01-16,2017,1,1,16,Monday   ,f
28,2017-01-17,2017,1,1,17,Tuesday  ,f
29,2017-01-18,2017,1,1,18,Wednesday,f
30,2017-01-19,2017,1,1,19,Thursday ,f
31,2017-01-20,2017,1,1,20,Friday   ,f
32,2017-01-21,2017,1,1,21,Saturday ,t
33,2017-01-22,2017,1,1,22,Sunday   ,t
34,2017-01-23,2017,1,1,23,Monday   ,f
35,2017-01-24,2017,1,1,24,Tuesday  ,f
36,2017-01-25,2017,1,1,25,Wednesday,f
37,2017-01-26,2017,1,1,26,Thursday ,f
38,2017-01-27,2017,1,1,27,Friday   ,f
39,2017-01-28,2017,1,1,28,Saturday ,t
40,2017-01-29,2017,1,1,29,Sunday   ,t
41,2017-01-30,2017,1,1,30,Monday   ,f
42,2017-01-31,2017,1,1,31,Tuesday  ,f
43,2017-02-01,2017,1,2,1,Wednesday,f
44,2017-02-02,2017,1,2,2,Thursday ,f
45,2017-02-03,2017,1,2,3,Friday   ,f
46,2017-02-04,2017,1,2,4,Saturday ,t
47,2017-02-05,2017,1,2,5,Sunday   ,t
48,2017-02-06,2017,1,2,6,Monday   ,f
49,2017-02-07,2017,1,2,7,Tuesday  ,f
50,2017-02-08,2017,1,2,8,Wednesday,f
51,2017-02-09,2017,1,2,9,Thursday ,f
52,2017-02-10,2017,1,2,10,Friday   ,f
53,2017-02-11,2017,1,2,11,Saturday ,t
54,2017-02-12,2017,1,2,12,Sunday   ,t
55,2017-02-13,2017,1,2,13,Monday   ,f
56,2017-02-14,2017,1,2,14,Tuesday  ,f
57,2017-02-15,2017,1,2,15,Wednesday,f
58,2017-02-16,2017,1,2,16,Thursday ,f
59,2017-02-17,2017,1,2,17,Friday   ,f
60,2017-02-18,2017,1,2,18,Saturday ,t
61,2017-02-19,2017,1,2,19,Sunday   ,t
62,2017-02-20,2017,1,2,20,Monday   ,f
63,2017-02-21,2017,1,2,21,Tuesday  ,f
64,2017-02-22,2017,1,2,22,Wednesday,f
65,2017-02-23,2017,1,2,23,Thursday ,f
66,2017-02-24,2017,1,2,24,Friday   ,f
67,2017-02-25,2017,1,2,25,Saturday ,t
68,2017-02-26,2017,1,2,26,Sunday   ,t
69,2017-02-27,2017,1,2,27,Monday   ,f
70,2017-02-28,2017,1,2,28,Tuesday  ,f
71,2017-03-01,2017,1,3,1,Wednesday,f
72,2017-03-02,2017,1,3,2,Thursday ,f
73,2017-03-03,2017,1,3,3,Friday   ,f
74,2017-03-04,2017,1,3,4,Saturday ,t
75,2017-03-05,2017,1,3,5,Sunday   ,t
76,2017-03-06,2017,1,3,6,Monday   ,f
77,2017-03-07,2017,1,3,7,Tuesday  ,f
78,2017-03-08,2017,1,3,8,Wednesday,f
79,2017-03-09,2017,1,3,9,Thursday ,f
80,2017-03-10,2017,1,3,10,Friday   ,f
81,2017-03-11,2017,1,3,11,Saturday ,t
82,2017-03-12,2017,1,3,12,Sunday   ,t
83,2017-03-13,2017,1,3,13,Monday   ,f
84,2017-03-14,2017,1,3,14,Tuesday  ,f
85,2017-03-15,2017,1,3,15,Wednesday,f
86,2017-03-16,2017,1,3,16,Thursday ,f
87,2017-03-17,2017,1,3,17,Friday   ,f
88,2017-03-18,2017,1,3,18,Saturday ,t
89,2017-03-19,2017,1,3,19,Sunday   ,t
90,2017-03-20,2017,1,3,20,Monday   ,f
91,2017-03-21,2017,1,3,21,Tuesday  ,f
92,2017-03-22,2017,1,3,22,Wednesday,f
93,2017-03-23,2017,1,3,23,Thursday ,f
94,2017-03-24,2017,1,3,24,Friday   ,f
95,2017-03-25,2017,1,3,25,Saturday ,t
96,2017-03-26,2017,1,3,26,Sunday   ,t
97,2017-03-27,2017,1,3,27,Monday   ,f
98,2017-03-28,2017,1,3,28,Tuesday  ,f
99,2017-03-29,2017,1,3,29,Wednesday,f
100,2017-03-30,2017,1,3,30,Thursday ,f
101,2017-03-31,2017,1,3,31,Friday   ,f
102,2017-04-01,2017,2,4,1,Saturday ,t
103,2017-04-02,2017,2,4,2,Sunday   ,t
